id,entorno,nombre,etapa,tipo,area_responsable,descripcion,monto_contrato,comuna,barrio,direccion,lat,lng,fecha_inicio,fecha_fin_inicial,plazo_meses,porcentaje_avance,imagen_1,imagen_2,imagen_3,imagen_4,licitacion_oferta_empresa,licitacion_anio,contratacion_tipo,nro_contratacion,cuit_contratista,beneficiarios,mano_obra,compromiso,destacada,ba_elige,link_interno,pliego_descarga,expediente-numero,estudio_ambiental_descarga,financiamiento
69,Teatro Colón,Teatro Colón: Instituto Superior de Arte - Adecuación del edificio Corrientes 1681,Finalizada,Arquitectura,Secretaría de Transporte y Obras Públicas,Se realizó la puesta en valor del Instituto Superior de Arte del Teatro Colón. ,15203243,1,San Nicolás,Corrientes Av. 1681,-34.6042215064651,-58.3905017937086,29/12/2016,30/05/2017,5,100,https://cdn2.buenosaires.gob.ar/baobras/editadas1/mduyt_teatrocolon_institutosuperiordearte_foto1.jpg,,,,INGECONS S.A.,2016,,,30683399333,,17,,,,https://www.buenosaires.gob.ar/baobras/teatro-colon,https://www.buenosaires.gov.ar/areas/planeamiento_obras/licitations/web/frontend_dev.php/licitation/index/id/236,,,
71,Área Ambiental Central,Área Ambiental Central: Calle Peru I,Finalizada,Espacio Público,Secretaría de Transporte y Obras Públicas,"El proyecto incluyó el tramo entre Av. Belgrano y Av. Roca, y consistió en la unificación de los niveles de acera, calzada y la preservación del cordón de granito existente. Se agregaron rampas vehiculares y peatonales para salvar desniveles; se reemplazaron las cunetas por rejillas abatibles para el desagüe pluvial, se incorporó equipamiento urbano y se rediseño el alumbrado público.",2462636,1,Montserrat,"BELGRANO AV. Y ROCA, JULIO A., PRESIDENTE DIAGONAL SUR AV.",-34.6128460225021,-58.3775884161122,21/03/2016,18/07/2016,4,100,https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/71.jpg,,,,Naku Construcciones S.R.L,2016,,,30575292174,,8,SI,,,https://www.buenosaires.gob.ar/baobras/area-ambiental-central,https://www.buenosaires.gov.ar/areas/planeamiento_obras/licitations/web/frontend_dev.php/licitation/index/id/187,,,
72,Área Ambiental Central,Área Ambiental Central: Calle Peru II,Finalizada,Espacio Público,Secretaría de Transporte y Obras Públicas,"La obra se extendió sobre la calle Perú desde Av. Belgrano hasta Av. Independencia. Se implementó la nivelación de cruces peatonales en ambos sentidos mejorando la accesibilidad y el tránsito peatonal. Además, se contempló la renovación de luminarias y equipamiento urbano.",9133269,1,Montserrat,PERU Y MEXICO,-34.6149212118504,-58.3745834351468,16/08/2016,29/12/2016,4,100,https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/72.jpg,,,,Instalectro S.A.,2016,,,33661628729,,11,SI,,,https://www.buenosaires.gob.ar/baobras/area-ambiental-central,https://www.buenosaires.gov.ar/areas/planeamiento_obras/licitations/web/frontend_dev.php/licitation/index/id/215,,,
73,Donado Holmberg,Centro de Gestión y Participación - Comuna 12,Finalizada,Arquitectura,Secretaría de Transporte y Obras Públicas,"La nueva sede de la Comuna 12, ubicada en la calle Holmberg en Villa Urquiza, es la sede de la zona que integra a los Barrios de Coghlan, Saavedra, Villa Urquiza y Villa Pueyrredón. El edificio tiene tres pisos y permite realizar trámites de manera más cómoda y rápida. Opera los servicios de rentas, defensa al consumidor, licencias, infracciones, registro civil, tesorería, mediación comunitaria e intermediación laboral.",36725502,12,Villa Urquiza,HOLMBERG 2548,-34.5685070458516,-58.4777289463289,28/10/2013,17/04/2017,42,100,https://cdn2.buenosaires.gob.ar/desarrollourbano/observatorio-de-obras/observatorio154.jpeg,https://cdn2.buenosaires.gob.ar/desarrollourbano/observatorio-de-obras/observatorio120.jpg,https://cdn2.buenosaires.gob.ar/desarrollourbano/observatorio-de-obras/observatorio121.jpg,https://cdn2.buenosaires.gob.ar/desarrollourbano/observatorio-de-obras/observatorio122.jpg,Conorvial S.A,2013,Licitación Pública ,2590/2012,33504596309,200116,65,,,,https://www.buenosaires.gob.ar/baobras/Donado-Holmberg,https://www.buenosaires.gov.ar/areas/planeamiento_obras/licitations/web/frontend_dev.php/licitation/index/id/133,1956273/2012 ,,
74,Acumar,Camino De Sirga III,En ejecución,Hidráulica e Infraestructura,Secretaría de Transporte y Obras Públicas,"El proyecto contempla la recuperación de la tenencia de los predios linderos al Riachuelo, la limpieza y adecuación de los terrenos, a fin de construir una calle de servicio y el parque lineal asociado. El camino se ejecuta en granitullo sobre losa de hormigón, excepto donde existe previamente un pavimento en buen estado de conservación que ameritó su conservación.",94995724,4,Barracas,"ZAVALETA E IRIARTE, GRAL. AV.",-34.6510656459936,-58.4005697391892,10/08/2017,31/01/2021,34,53,https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/74-1.jpg,https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/74-2.jpg,https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/74-3.jpg,https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/74-4.jpg,Urbaser Argentina S.A - Ceob Sa Ute,2017,Licitación Pública,671- SIGAF/17,30714682489,80000,,SI,SI,,https://www.buenosaires.gob.ar/baobras/acumar,https://www.buenosaires.gov.ar/areas/planeamiento_obras/licitations/web/frontend_dev.php/licitation/index/id/279,4440817-DGOINFU-2017,,
75,Área Ambiental Central,Área Ambiental Central: Calle Tacuarí,Finalizada,Espacio Público,Secretaría de Transporte y Obras Públicas,El proyecto constó de la nivelación de la vereda y la calzada definiendo un carril vehicular de 3.95 m en convivencia con bicisenda y la ampliación de ambas veredas en forma asimétrica. Incluyó el tramo que va desde Av. de Mayo a Av. Belgrano.,19981404,1,Montserrat,"TACUARI Y ALSINA, ADOLFO",-34.6106296103927,-58.3791273959026,13/10/2016,15/08/2017,10,100,https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/75-1.jpg,https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/75-2.jpg,https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/75-3.jpg,,Dal Construcciones S.A,2016,,,30604370171,,28,SI,,,https://www.buenosaires.gob.ar/baobras/area-ambiental-central,https://www.buenosaires.gov.ar/areas/planeamiento_obras/licitations/web/frontend_dev.php/licitation/index/id/218,,,
77,Teatro San Martín,Teatro San Martín: Renovación de Instalaciones y Tecnología.,Finalizada,Arquitectura,Secretaría de Transporte y Obras Públicas,"Se realizó la recuperación y adecuación tecnológica de los ámbitos principales del teatro y sus áreas complementarias y de servicios, incluyendo las salas Martín Coronado, Casacuberta y Lugones, los halls, camarines, núcleos sanitarios, circulaciones verticales y horizontales y demás sectores de apoyo.",160977932,1,San Nicolás,CORRIENTES AV. 1530,-34.6042380541569,-58.3886418118438,25/08/2014,28/02/2018,42,100,https://cdn2.buenosaires.gob.ar/baobras/genericas/generica_arquitectura.png,,,,Bricons S.A.I.C.F.I. - Grupo Farallon S.A. (Ute),2014,,,30714527351,,250,,,,https://www.buenosaires.gob.ar/baobras/teatro-san-martin,https://www.buenosaires.gov.ar/areas/planeamiento_obras/licitations/web/frontend_dev.php/licitation/index/id/157,,,
78,Comisarías,Comisaría vecinal 1-E,Finalizada,Arquitectura,Secretaría de Transporte y Obras Públicas,"El proyecto contempló la construcción de un edificio en planta baja con tecnología modular y construcción en seco, además, las adecuaciones necesarias del predio para el normal desarrollo de las actividades propias de la comisaría. Asimismo, se promovió la recuperación funcional y social de un predio urbano sin uso actual en un sitio estratégico mejorando las condiciones de seguridad en el área.",1276501,4,La Boca,DON PEDRO DE MENDOZA AV. Y GUALEGUAY,-34.6254126362875,-58.3609479395971,11/01/2016,28/02/2017,13,100,https://cdn2.buenosaires.gob.ar/desarrollourbano/observatorio-de-obras/imagenesobservatorio/comisaria22.jpg,,,,Ecosan S.A,2016,,,30707696849,,,,,,https://www.buenosaires.gob.ar/baobras/comisarias,https://www.buenosaires.gov.ar/areas/planeamiento_obras/licitations/web/frontend_dev.php/licitation/index/id/233,,,
79,Oficinas Públicas,Oficinas Ministerio de Justicia y Seguridad: Laboratorio de la Policía Científica,Finalizada,Arquitectura,Secretaría de Transporte y Obras Públicas,"La obra a ejecutar contempló la construcción de un edificio en dos plantas junto a la recuperación y puesta en función del entorno del predio a través de un tratamiento paisajístico, calles perimetrales y peatonales. La edificación se realizó en sistema estructural modular conformado por piezas de hormigón armado prefabricado, tabiquería en seco y carpintería de aluminio de alta prestación e instalaciones de alta complejidad.",62590455,4,Parque Patricios,MIRAVE Y LUNA,-34.6445770884554,-58.3972815765346,30/12/2016,30/09/2017,9,100,https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/79-1.jpg,https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/79-2.jpg,https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/79-3.jpg,https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/79-4.jpg,Ecosan S.A,2016,,,30707696849,,80,,,,https://www.buenosaires.gob.ar/baobras/oficinas-publicas,https://www.buenosaires.gov.ar/areas/planeamiento_obras/licitations/web/frontend_dev.php/licitation/index/id/244,,,
80,Teatro Colón,Teatro Colón: Plano corta fuego,Finalizada,Arquitectura,Secretaría de Transporte y Obras Públicas,Se realizaron obras complementarias a la puesta en valor del Teatro Colón. ,6353999,1,San Nicolás,CERRITO 628,-34.6010514848815,-58.3824414002727,07/02/2017,02/10/2018,20,100,https://cdn2.buenosaires.gob.ar/baobras/editadas1/mduyt_teatrocolon_planocortafuego_foto1.jpg,,,,Rol Ingenieria S.A,2016,,,30578447659,,5,,,,https://www.buenosaires.gob.ar/baobras/teatro-colon,https://www.buenosaires.gov.ar/areas/planeamiento_obras/licitations/web/frontend_dev.php/licitation/index/id/249,,,
81,Teatro Colón,Teatro Colón: Completamiento del 4° Piso,Finalizada,Arquitectura,Secretaría de Transporte y Obras Públicas,"Se realizó el mejoramiento de instalaciones y servicios, complementarias a la puesta en valor del Teatro Colón.",17176125,1,San Nicolás,CERRITO 628,-34.6010514848815,-58.3824414002727,07/02/2017,30/11/2017,9,100,https://cdn2.buenosaires.gob.ar/baobras/editadas1/mduyt_teatrocolon_completamientodelpiso_foto1.jpg,,,,Rol Ingenieria S.A,2016,,,30578447659,,8,,,,https://www.buenosaires.gob.ar/baobras/teatro-colon,https://www.buenosaires.gov.ar/areas/planeamiento_obras/licitations/web/frontend_dev.php/licitation/index/id/250,,,
82,Entorno Parque Patricios,Centro Parque Patricios: Intervención ,Finalizada,Arquitectura,Secretaría de Transporte y Obras Públicas,"El proyecto contempló la intervención del centro del parque, el boulevard de acceso al parque, la salida de la estación Parque Patricios de la línea H y la plazoleta delimitada por las calles Favaloro, Champagnat y Pepiri.",8245624,4,Parque Patricios,CASEROS AV. Y MONTEAGUDO,-34.6371173816198,-58.4056107943587,12/05/2016,30/04/2017,11,100,https://cdn2.buenosaires.gob.ar/baobras/editadas1/mduyt_intervencioncentroparquepatricios_foto1.jpg,,,,Dragonair S.A.,2016,,,30707439587,40885,,,,,https://www.buenosaires.gob.ar/baobras/entorno-parque-patricios,https://www.buenosaires.gov.ar/areas/planeamiento_obras/licitations/web/frontend_dev.php/licitation/index/id/234,,,
83,Área Ambiental Central,Área Ambiental Central: Pasaje 5 de Julio,Finalizada,Espacio Público,Secretaría de Transporte y Obras Públicas,"Ubicado entre la calle Venezuela y la Av. Belgrano, el pasaje 5 de Julio adquirió la condición de peatonalidad de acuerdo a los lineamientos ambientales del área central. Debido a ello se intervino para nivelar su acera y calzada, donde se conservó su granitullo y adoquinado original.",3788185,1,Montserrat,5 DE JULIO Y BELGRANO AV.,-34.6124225603364,-58.3712252093229,05/07/2016,21/10/2016,3,100,https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/83-1.jpg,https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/83-2.jpg,https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/83-3.jpg,,Villarex S.A.,2016,,,30712097996,,15,SI,,,https://www.buenosaires.gob.ar/baobras/area-ambiental-central,https://www.buenosaires.gov.ar/areas/planeamiento_obras/licitations/web/frontend_dev.php/licitation/index/id/210,,,
84,Edificio Lezama,Edificio Lezama: Reparación de carpinterías del Parque Lezama,Finalizada,Arquitectura,Secretaría de Transporte y Obras Públicas,"Se realizaron cambios de herrajes en ventanas, colocación de carpinterías sobre fachada en calle Irala y colocación de puertas exteriores en 3 piso.",1106885,4,La Boca,"GARCIA, MARTIN AV. 346",-34.6289077262201,-58.3699391306946,06/01/2016,05/11/2016,10,100,https://cdn2.buenosaires.gob.ar/desarrollourbano/sociopublico/edificiolezama/lezama_carpinteria/carpinteria_1.jpg,https://cdn2.buenosaires.gob.ar/desarrollourbano/sociopublico/edificiolezama/lezama_carpinteria/carpinteria_2.jpg,https://cdn2.buenosaires.gob.ar/desarrollourbano/sociopublico/edificiolezama/lezama_carpinteria/carpinteria_3.jpg,,Alupal Aberturas S.A.,2016,,,30712346899,3100,,,,,https://www.buenosaires.gob.ar/baobras/edificio-Lezama,,,,
85,Edificio Lezama,"Edificio Lezama: Instalaciones Eléctricas de Corrientes Fuertes, Corrientes Débiles e Iluminación",Finalizada,Arquitectura,Secretaría de Transporte y Obras Públicas,"Se contempló la ejecución de las instalaciones eléctricas de corrientes fuertes y débiles e iluminación, incluyendo la provisión de materiales, mano de obra especializada y la realización de la ingeniería ejecutiva.",43174941,4,La Boca,"GARCIA, MARTIN AV. 346",-34.6289077262201,-58.3699391306946,19/01/2015,30/12/2016,23,100,https://cdn2.buenosaires.gob.ar/desarrollourbano/sociopublico/edificiolezama/lezama_inst_electricas/lezama_insta_elec_2.jpg,https://cdn2.buenosaires.gob.ar/desarrollourbano/sociopublico/edificiolezama/lezama_inst_electricas/lezama_insta_elec_3.jpg,https://cdn2.buenosaires.gob.ar/desarrollourbano/sociopublico/edificiolezama/lezama_inst_electricas/lezama_insta_elec_4.jpg,https://cdn2.buenosaires.gob.ar/desarrollourbano/sociopublico/edificiolezama/lezama_inst_electricas/lezama_insta_elec_6.jpg,SES SA,2015,,,30647727545,3100,3,,,,https://www.buenosaires.gob.ar/baobras/edificio-Lezama,https://www.buenosaires.gob.ar/areas/planeamiento_obras/licitations/web/uploads/a12ae334aee4f8fb70fe7eaf61b5e505.pdf ,,,
86,Edificio Lezama,Edificio Lezama: Ampliación del Sistema Contra Incendio,Finalizada,Arquitectura,Secretaría de Transporte y Obras Públicas,Se llevó a cabo la ejecución de las instalaciones contra incendio del Edificio Palacio Lezama,10781000,4,La Boca,"GARCIA, MARTIN AV. 346",-34.6289077262201,-58.3699391306946,07/01/2015,13/06/2016,17,100,https://cdn2.buenosaires.gob.ar/desarrollourbano/observatorio-de-obras/observatorio43.jpg,,,,Incesanit,2015,,,,3100,,,,,https://www.buenosaires.gob.ar/baobras/edificio-Lezama,,,,
87,Edificio Lezama,Edificio Lezama: Ampliación del Sistema de Aire Acondicionado,Finalizada,Arquitectura,Secretaría de Transporte y Obras Públicas,Se llevó a cabo la ejecución de las instalaciones de aire acondicionado del Edificio Palacio Lezama.,4553909,4,La Boca,"GARCIA, MARTIN AV. 346",-34.6289077262201,-58.3699391306946,20/08/2015,13/06/2016,10,100,https://cdn2.buenosaires.gob.ar/desarrollourbano/sociopublico/edificiolezama/lezama_aire_acondicionado/lezama_sistema_aire_1.jpg,https://cdn2.buenosaires.gob.ar/desarrollourbano/sociopublico/edificiolezama/lezama_aire_acondicionado/lezama_sistema_aire_2.jpg,https://cdn2.buenosaires.gob.ar/desarrollourbano/sociopublico/edificiolezama/lezama_aire_acondicionado/lezama_sistema_aire_3.jpg,https://cdn2.buenosaires.gob.ar/desarrollourbano/sociopublico/edificiolezama/lezama_aire_acondicionado/lezama_sistema_aire_4.jpg,CA GROUP SA,2015,,,30707222138,3100,,,,,https://www.buenosaires.gob.ar/baobras/edificio-Lezama,,,,
89,Entorno Flores,Centro de Transbordo Flores,Finalizada,Transporte,Secretaría de Transporte y Obras Públicas,"El nuevo Centro de Trasbordo Flores le permite a miles de personas hacer combinaciones entre distintos medios de transporte como ser el Subte A, Ecobici, el FFCC Sarmiento y 22 líneas de colectivos. Se realizó una puesta en valor del entorno de la Plaza Pueyrredón a partir de un reordenamiento de las paradas de colectivos y mejora en la accesibilidad al centro de trasbordo. Incluye lugares de espera más cómodos y cruces más seguros para transformar la manera en que viajan pasajeros y conductores. Se incorpora nuevo mobiliario urbano y se mejoran las veredas, la iluminación y el pavimento de la traza.",62201082,7,Flores,RIVADAVIA AV. Y ARGERICH,-34.6311249642282,-58.4711929046875,05/02/2017,31/08/2017,6,100,https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/89-1.jpg,https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/89-2.jpg,https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/89-3.jpg,https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/89-4.jpg,Construcciones Ingevial S.A.,2017,,,30650833380,55000,,,,,https://www.buenosaires.gob.ar/baobras/entorno-flores,https://www.buenosaires.gov.ar/areas/planeamiento_obras/licitations/web/frontend_dev.php/licitation/index/id/276,,,
90,Parque del Bajo,Parque Del Bajo: Bases de monumentos,Finalizada,Espacio Público,Secretaría de Transporte y Obras Públicas,"Esta obra comprendió solamente lo referido a la demolición de las bases existentes, retiro y acopio de revestimientos, y construcción de las nuevas bases estructurales en donde fueron emplazados los monumentos, no fue incluido el traslado de las figuras escultóricas.",4867440,1,San Nicolás,"Madero, Eduardo Av. y Peron, Juan Domingo, Tte. General",-34.60517,-58.367929,20/07/2017,20/09/2017,2,100,https://cdn2.buenosaires.gob.ar/baobras/editadas1/mduyt_parquedelbajo_basesdemonumentos_foto1.jpeg,,,,CONSTRUCCIONES INDUSTRIALES AVELLANEDA SA,2017,,,30710543271,,,SI,,,https://www.buenosaires.gob.ar/baobras/parque-del-bajo-0,https://www.buenosaires.gov.ar/areas/planeamiento_obras/licitations/web/frontend_dev.php/licitation/index/id/281,,,
91,Parque del Bajo,Parque Del Bajo: Helipuerto y obras civiles,Finalizada,Espacio Público,Secretaría de Transporte y Obras Públicas,"La obra permitió la liberación del sector ocupado por el actual helipuerto para su inclusión como parte del “Parque del Bajo”. La licitación comprendió también la construcción de la nueva torre de control de aproximadamente 100 m2, el desmontaje y recolocación de la reja de la Plaza Colón a su nueva posición. Además, incluyó la generación de una calle interna de servicios para vehículos que conectó la Casa Rosada con el helipuerto y la construcción de una dársena o estacionamiento para camionetas de bomberos.",16972287,1,San Nicolás,"Madero, Eduardo Av. y Peron, Juan Domingo, Tte. General",-34.60517,-58.367929,27/07/2017,31/01/2018,6,100,https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/91-1.jpeg,https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/91-2.jpeg,https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/91-3.jpeg,https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/91-4.jpg,Kir S.R.L,2017,,,30702232046,,,SI,,,https://www.buenosaires.gob.ar/baobras/parque-del-bajo-0,https://www.buenosaires.gov.ar/areas/planeamiento_obras/licitations/web/frontend_dev.php/licitation/index/id/284,,,
92,Parque del Bajo,Parque Del Bajo: Movimiento de mástil,Finalizada,Espacio Público,Secretaría de Transporte y Obras Públicas,"Se llevó a cabo el traslado del mástil existente, la restauración del mismo, la construcción del basamento de hormigón, la construcciones de una nueva sala de máquinas, el traslado del equipamiento de tableros y elementos electromecánicos existentes. El mástil construido en el año 1998, mide aproximadamente 40 metros y soporta una bandera de 10x15 metros. Su nuevo emplazamiento fue en el eje de la Av. Paseo Colón del lado sur del Parque Colón.",5840155,1,San Nicolás,"Madero, Eduardo Av. y Peron, Juan Domingo, Tte. General",-34.60517,-58.367929,31/07/2017,31/12/2017,5,100,https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/92-1.jpg,,,,Kir S.R.L,2017,,,30702232046,,,SI,,,https://www.buenosaires.gob.ar/baobras/parque-del-bajo-0,https://www.buenosaires.gov.ar/areas/planeamiento_obras/licitations/web/frontend_dev.php/licitation/index/id/286,,,
93,Manzana 66,Manzana 66: Espacio público y movimiento de suelos,Finalizada,Espacio Público,Secretaría de Transporte y Obras Públicas,"La presente licitación se encargó de los trabajos de demolición, retiro de excedentes y movimiento de suelos de la totalidad de la manzana.",48185419,3,Balvanera,BELGRANO AV. Y JUJUY AV.,-34.6146343730563,-58.4049167360784,16/04/2018,16/02/2019,10,100,https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/manzana66-foto1-web.jpg,https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/manzana66-foto2-web.jpg,https://cdn2.buenosaires.gob.ar/baobras/editadas1/mduyt_manzana66_foto1.jpg,https://www.youtube.com/watch?v=J-fLeUg31gE,Salvatori S.A Parques Y Jardines,2017,Licitación Pública,23-SIGAF/2018,,,,SI,SI,,https://www.buenosaires.gob.ar/baobras/manzana-66,https://www.buenosaires.gov.ar/areas/planeamiento_obras/licitations/web/frontend_dev.php/licitation/index/id/323,2018-2541909-MGEYA-DGIURB,,
94,Entorno Recoleta,Centro Cultural Recoleta: Puesta en valor y refuncionalización,Finalizada,Arquitectura,Secretaría de Transporte y Obras Públicas,"El proyecto consistió en la puesta en valor y refuncionalización del Centro Cultural Recoleta mediante la adecuación de la Recova y los edificios Cronopios, Aleph, Hotel y Patio del Tanque, así como también el edificio en su conjunto y sus patios.",108808256,2,Recoleta,Junin 1930,-34.586495,-58.391574,11/10/2017,13/11/2018,13,100,https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/94-1.jpg,https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/94-2.jpg,https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/94-3.jpg,https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/94-4.jpg,Inapcon S.A,2017,,,30677124411,,,,,,https://www.buenosaires.gob.ar/baobras/recoleta,https://www.buenosaires.gov.ar/areas/planeamiento_obras/licitations/web/frontend_dev.php/licitation/index/id/292,,,
96,Centro De Exposiciones Y Convenciones,Centro de Exposiciones y Convenciones: Ingreso y Veredas,Finalizada,Arquitectura,Secretaría de Transporte y Obras Públicas,"Dentro de las obras complementarias al edificio del Centro de Exposiciones y Convenciones, se realizó la construcción de su ingreso vehicular, las veredas y espacio público adyacente a la calle Brigadier Quiroga y al Museo de Arquitectura y Diseño de la SCA.",10197000,2,Recoleta,FRENCH Y PUEYRREDON AV.,-34.5901856269493,-58.4003600016802,19/05/2016,19/10/2016,5,100,https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/96-1.jpg,https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/96-2.jpg,https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/96-3.jpg,https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/96-4.jpg,Personal Propio,,,,,,,,,,https://www.buenosaires.gob.ar/baobras/Centro-De-exposiciones-Y-Convenciones,,,https://cdn2.buenosaires.gob.ar/baobras/apra/EX-799350-2013.pdf,
101,,Parque de la Memoria: Pabellón de acceso,Finalizada,Arquitectura,Secretaría de Transporte y Obras Públicas,El Pabellón de acceso alberga a dos sectores diferenciados: uno de información al público y otro de seguridad y vigilancia que abastece al Parque de la Memoria.,8825149,13,Belgrano,Av. Costanera Rafael Obligado 6745,-34.546604,-58.430948,22/08/2016,31/01/2017,5,100,https://cdn2.buenosaires.gob.ar/baobras/editadas1/mduyt_parquedelamemoria_nuevoingreso_foto1.jpg,,,,Villarex S.A.,2016,,,30712097996,,,,,,https://www.buenosaires.gob.ar/baobras/Pabellon-De-Acceso-Parque-De-La-Memoria,https://www.buenosaires.gov.ar/areas/planeamiento_obras/licitations/web/frontend_dev.php/licitation/index/id/219,,,
110,Oficinas Públicas,Base Operativa de Agentes de Tránsito,Finalizada,Arquitectura,Secretaría de Transporte y Obras Públicas,,13246542,10,Villa Luro,"JUSTO, JUAN B. AV. Y VIRGILIO",-34.6327908969972,-58.5024054865143,14/08/2017,01/11/2017,3,100,https://cdn2.buenosaires.gob.ar/baobras/genericas/generica_arquitectura.png,,,,Ecosan S.A,2017,,,30707696849,,,,,,https://www.buenosaires.gob.ar/baobras/oficinas-publicas,https://www.buenosaires.gov.ar/areas/planeamiento_obras/licitations/web/frontend_dev.php/licitation/index/id/287,,,
113,Sanidad de Frontera,Sanidad de Frontera - Ministerio de Salud,Finalizada,Salud,Secretaría de Transporte y Obras Públicas,La Sede de Sanidad de Fronteras se realizó con sistema modular prefabricado y construcción en seco y cuenta con un sector descubierto de uso exclusivo destinado a estacionamiento e instalaciones y un sector descubierto como plaza pública dotada de equipamiento y vegetación.,12450513,4,La Boca,"DON PEDRO DE MENDOZA AV. Y BLANES, JUAN MANUEL",-34.627020134189,-58.3584731603382,28/12/2016,30/03/2017,3,100,https://cdn2.buenosaires.gob.ar/baobras/editadas1/sanidaddefrontera_laboca_foto1.jpg,,,,Ernesto Tarnousky S.A.,2016,,,30628970714,,,,,,https://www.buenosaires.gob.ar/baobras/sanidad-de-frontera-ministerio-de-salud,https://www.buenosaires.gov.ar/areas/planeamiento_obras/licitations/web/frontend_dev.php/licitation/index/id/239,,,
121,Entorno Chacarita,Mirador Comastri: Restauración,Finalizada,Arquitectura,Secretaría de Transporte y Obras Públicas,"La obra se dividió en dos etapas: la primera comprendió la reconstrucción parcial e impermeabilización de todas las cubiertas del edificio y la ejecución de los cierres provisorios de aberturas. La segunda etapa incluyó la restauración de toda la envolvente (revoques exteriores, premoldeados, carpinterías y herrería externa, cúpula del mirador, baldosas de azoteas); la rehabilitación de la galería de frente, los locales en planta baja, acceso a través de las escaleras al mirador y la construcción de un núcleo sanitario para el público.",4111783,15,Chacarita,LOYOLA 1500,-34.5886588108433,-58.4428471780451,03/04/2017,30/03/2018,11,100,https://cdn2.buenosaires.gob.ar/baobras/editadas1/mduyt_miradorcomastri_foto1.jpg,,,,Listo Soluciones S.R.L.,2016,,,30708876778,,8,,,,https://www.buenosaires.gob.ar/baobras/entorno-chacarita,https://www.buenosaires.gov.ar/areas/planeamiento_obras/licitations/web/frontend_dev.php/licitation/index/id/256,,,
122,Paseo De La Ribera,Paseo de La Ribera: Etapa I Rocha y Cerri,Finalizada,Espacio Público,Secretaría de Transporte y Obras Públicas,"El proyecto se propuso transformar el borde costero habiendo sido utilizado como estacionamiento en un paseo con incorporación de superficie verde con forestación, equipamiento urbano como barandas, bancos, y nuevos artefactos de iluminación peatonal con sistema led. En una primera etapa se construyeron las veredas frentistas sobre las calles Pedro de Mendoza entre Rocha y Cerri, solucionando los problemas de accesibilidad e incorporando nueva vegetación.",13906212,4,La Boca,"Don Pedro De Mendoza Av. Y Salvadores, Cnel.",-34.6417239529,-58.3586587345,04/05/2017,15/07/2017,2,100,https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/122-1.jpg,https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/122-2.jpg,https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/122-3.jpg,,Instalectro S.A.,2017,,,33661628729,,,,,,https://www.buenosaires.gob.ar/baobras/Paseo-De-La-Ribera,https://www.buenosaires.gov.ar/areas/planeamiento_obras/licitations/web/frontend_dev.php/licitation/index/id/261,,,
